City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Porto Novo,6.4965,2.6036,84.02,80,100,11.03,BJ,2022-04-10 19:21:29
1,Vaini,-21.2,-175.2,77.16,94,40,6.91,TO,2022-04-10 19:14:16
2,Nikolskoye,59.7035,30.7861,39.79,87,18,9.73,RU,2022-04-10 19:16:03
3,Hermanus,-34.4187,19.2345,65.05,81,3,9.31,ZA,2022-04-10 19:16:03
4,Bongor,10.2806,15.3722,86.74,44,98,10.16,TD,2022-04-10 19:21:30
5,Hobart,-42.8794,147.3294,54.01,63,100,4.61,AU,2022-04-10 19:11:49
6,Rikitea,-23.1203,-134.9692,78.85,75,0,17.58,PF,2022-04-10 19:13:57
7,Albany,42.6001,-73.9662,45.91,60,99,14.5,US,2022-04-10 19:12:46
8,Byron Bay,-28.65,153.6167,65.95,94,31,7.96,AU,2022-04-10 19:21:30
9,Hilo,19.7297,-155.09,73.26,91,100,8.01,US,2022-04-10 19:16:07
10,Yerbogachen,61.2767,108.0108,10.22,98,78,3.89,RU,2022-04-10 19:21:31
11,Saint George,37.1041,-113.5841,64.44,12,0,4.61,US,2022-04-10 19:20:51
12,Kapoeta,4.7717,33.5903,88.99,31,38,15.97,SS,2022-04-10 19:21:31
13,Bredasdorp,-34.5322,20.0403,65.07,86,0,13.11,ZA,2022-04-10 19:14:26
14,Matamoros,25.5333,-103.25,86.11,20,75,12.66,MX,2022-04-10 19:21:26
15,Adrar,20.5022,-10.0711,87.3,5,0,6.73,MR,2022-04-10 19:21:32
16,Atuona,-9.8,-139.0333,78.94,76,15,16.49,PF,2022-04-10 19:13:57
17,Puerto Ayora,-0.7393,-90.3518,84.16,89,100,5.99,EC,2022-04-10 19:17:25
18,Margate,51.3813,1.3862,48.31,73,100,3.0,GB,2022-04-10 19:21:32
19,Havoysund,70.9963,24.6622,37.63,84,100,17.65,NO,2022-04-10 19:21:33
20,Cockburn Town,21.4612,-71.1419,82.36,61,40,13.8,TC,2022-04-10 19:21:34
21,Leningradskiy,69.3833,178.4167,-10.23,91,46,4.29,RU,2022-04-10 19:21:34
22,Mar Del Plata,-38.0023,-57.5575,71.1,97,75,13.8,AR,2022-04-10 19:19:30
23,Hithadhoo,-0.6,73.0833,83.84,72,28,9.8,MV,2022-04-10 19:21:34
24,Ilulissat,69.2167,-51.1,23.02,54,75,4.61,GL,2022-04-10 19:20:56
25,Tame,6.461,-71.73,91.71,38,100,7.23,CO,2022-04-10 19:21:35
26,Assiniboia,49.6334,-105.9845,42.62,31,17,19.57,CA,2022-04-10 19:16:45
27,Arraial Do Cabo,-22.9661,-42.0278,82.26,69,40,12.66,BR,2022-04-10 19:18:40
28,Severo-Kurilsk,50.6789,156.125,28.87,87,99,16.17,RU,2022-04-10 19:21:36
29,Busselton,-33.65,115.3333,53.01,84,41,5.1,AU,2022-04-10 19:17:26
30,Bluff,-46.6,168.3333,47.44,86,6,13.29,NZ,2022-04-10 19:14:20
31,Wenatchee,47.4235,-120.3103,49.96,40,40,4.61,US,2022-04-10 19:21:02
32,Port Lincoln,-34.7333,135.8667,63.23,80,100,13.98,AU,2022-04-10 19:18:29
33,Ponta Do Sol,32.6667,-17.1,66.0,72,1,12.24,PT,2022-04-10 19:18:31
34,Mehamn,71.0357,27.8492,37.31,85,100,20.22,NO,2022-04-10 19:21:37
35,Cape Town,-33.9258,18.4232,73.9,67,0,7.0,ZA,2022-04-10 19:12:51
36,Mataura,-46.1927,168.8643,39.31,98,6,3.24,NZ,2022-04-10 19:13:36
37,Waingapu,-9.6567,120.2641,75.87,79,0,5.88,ID,2022-04-10 19:21:37
38,Martinsville,36.6915,-79.8725,62.38,28,0,11.5,US,2022-04-10 19:21:38
39,Yar-Sale,66.8333,70.8333,33.33,100,100,10.33,RU,2022-04-10 19:21:38
40,Ambilobe,-13.2,49.05,74.53,94,15,2.66,MG,2022-04-10 19:21:38
41,Henties Bay,-22.116,14.2845,63.88,73,0,4.9,NA,2022-04-10 19:21:39
42,San Miguel,13.4833,-88.1833,96.4,30,20,3.44,SV,2022-04-10 19:21:39
43,Mahebourg,-20.4081,57.7,77.29,88,75,10.36,MU,2022-04-10 19:21:06
44,Lebu,-37.6167,-73.65,54.43,77,56,15.75,CL,2022-04-10 19:21:03
45,Sol-Iletsk,51.1631,54.9918,47.3,93,95,9.33,RU,2022-04-10 19:22:40
46,Vestmannaeyjar,63.4427,-20.2734,40.14,66,100,27.65,IS,2022-04-10 19:22:41
47,Hasaki,35.7333,140.8333,52.2,87,81,12.64,JP,2022-04-10 19:22:41
48,Beringovskiy,63.05,179.3167,25.92,96,100,11.03,RU,2022-04-10 19:22:41
49,Sal Rei,16.1833,-22.9167,71.8,68,75,18.41,CV,2022-04-10 19:22:42
50,Debre Tabor,11.85,38.0167,65.93,31,63,0.98,ET,2022-04-10 19:22:42
51,Klaksvik,62.2266,-6.589,32.92,64,100,9.46,FO,2022-04-10 19:22:42
52,Vengerovo,55.6848,76.7471,26.35,92,8,4.12,RU,2022-04-10 19:22:43
53,Cherskiy,68.75,161.3,-15.29,98,100,3.65,RU,2022-04-10 19:15:58
54,East London,-33.0153,27.9116,65.84,91,100,18.28,ZA,2022-04-10 19:16:39
